name,description,price,mrp,unit,stock,category,featured
Toor Dal,Pure yellow split pigeon peas,85,95,500g,100,Pulses & Grains,false
Basmati Rice,Long grain aromatic basmati rice,199,229,1kg,50,Pulses & Grains,true
Sunflower Oil,Refined sunflower cooking oil,199,219,1 litre,80,Oils & Ghee,false
Amul Butter,Pasteurised salted butter,60,65,100g,40,Dairy & Eggs,true
Tomato,Fresh ripe tomatoes from local farms,25,30,500g,200,Vegetables,false
Onion,Fresh red onions,20,25,500g,300,Vegetables,false
Potato,Fresh potatoes,18,22,500g,250,Vegetables,false
Banana,Fresh yellow bananas,35,40,1 dozen,100,Fruits,false
Coconut Oil,Cold pressed virgin coconut oil,299,329,500ml,60,Oils & Ghee,false
Idli Rice,Short grain parboiled rice for idli,89,99,1kg,120,Pulses & Grains,false
Aashirvaad Atta,Whole wheat chakki fresh atta,79,85,1kg,90,Pulses & Grains,true
Eggs,Fresh farm eggs (pack of 6),48,55,6 pcs,150,Dairy & Eggs,true
Milk,Fresh full cream pasteurised milk,28,30,500ml,200,Dairy & Eggs,true
Green Chilli,Fresh green chillies,15,20,100g,100,Vegetables,false
Coriander,Fresh green coriander leaves,10,15,100g,80,Vegetables,false
